ime,obshtina,moshtnost
"ФтЕЦ ""Солар Енерджи 77""",община Марица,0.03
"ФтЕЦ ""Просечен""",община Суворово,0.3
"ФтЕЦ ""Сърнево 2""",община Карнобат,0.03
"ФтЕЦ ""Солмекс - 10 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Солартойс - Малко Чочовен""",община Сливен,0.02961
"ФтЕЦ ""Солуков - Сърнево""",община Раднево,0.03
"ФтЕЦ ""Мечка""",община Иваново,0.015
"ФтЕЦ ""Семерци""",община Антоново,0.06
"ФтЕЦ ""Соларис - Пламен Гочев - Бяло поле""",община Опан,0.08512
"ФтЕЦ ""Дряново - 1""",община Дряново,0.06912
"ФтЕЦ ""Солар ПЛ""",община Струмяни,0.03
"ФтЕЦ ""Солар Системс Груп - Долно Сахране""",община Павел баня,0.1755
"ФтЕЦ ""Солария""",община Чипровци,0.089
"ФтЕЦ ""Солар Юг - Сопот""",община Сопот,0.03
"ФтЕЦ ""Солар Пауър Парк - Шишманци""",община Раковски,3.0
"ФтЕЦ ""Ес Пи Ви Мокрен""",община Котел,0.0784
"ФтЕЦ ""Конска""",община Брезник,0.0855
"ФтЕЦ ""Бобораци""",община Радомир,0.03
"ФтЕЦ ""Щром - Пловдив""",община Пловдив,0.2
"ФтЕЦ ""Стоекс""",община Никопол,0.02808
"ФтЕЦ ""Соларни системи""",община Ботевград,0.03
"ФтЕЦ ""Ситерм - 1""",община Пазарджик,0.03
"ФтЕЦ ""Ситерм - 2""",община Пазарджик,0.03
"ФтЕЦ ""Игнатовци - 1""",община Дряново,0.07056
"ФтЕЦ ""Строй Корект - Средно Градище""",община Чирпан,0.0282
"ФтЕЦ ""Стомар""",община Сандански,0.03
"ФтЕЦ ""Блатница Суит Хаус""",община Велинград,0.01081
"ФтЕЦ ""Сънуейф - 1""",община Болярово,0.03
"ФтЕЦ ""Сънуейф - 2""",община Болярово,0.03
"ФтЕЦ ""Сънуейф - 4""",община Болярово,0.03
"ФтЕЦ ""Сънуейф - 5""",община Болярово,0.03
"ФтЕЦ ""Сънуейф - 6""",община Болярово,0.03
"ФтЕЦ ""Сън Шайн - Братя Даскалови""",община Братя Даскалови,0.065
"ФтЕЦ ""Сън Инвестмънт БГ - Пъдарско""",община Брезово,0.0798
"ФтЕЦ ""Тиалди - Сопот""",община Сопот,0.03
"ФтЕЦ ""Сънгео 1 - Пищигово 1""",община Пазарджик,0.02
"ФтЕЦ ""Сънгео 1 - Пищигово 2""",община Пазарджик,0.03
"ФтЕЦ ""Сънгео 1 - Пищигово 3""",община Пазарджик,0.03
"ФтЕЦ ""Горско ново село""",община Златарица,0.059925
"ФтЕЦ ""Бабово""",община Сливо поле,1.2
"ФтЕЦ ""ТАД България - Меричлери""",община Димитровград,0.03
"ФтЕЦ ""Лъчезар""",община Павликени,0.03
"ФтЕЦ ""Сладун""",община Свиленград,0.03
"ФтЕЦ ""Тера Инвест - Пъдарево"" (ел. 1)",община Котел,2.0
"ФтЕЦ ""Тера Инвест - Пъдарево"" (ел. 2)",община Котел,3.0
"ФтЕЦ ""Терум - Ямбол""",община Ямбол,0.0294
"ФтЕЦ ""Дунавци""",община Видин,0.005
"ФтЕЦ ""Титан - Доспат""",община Доспат,0.19917
"ФтЕЦ ""Т и Т Енержи - Зора""",община Казанлък,0.03
"ФтЕЦ ""Т и Т Енержи - Детелина""",община Казанлък,0.03
"ФтЕЦ ""Томсолар - 8 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Калето""",община Ловеч,0.0297
"ФтЕЦ ""Торус 1 - Козарско""",община Брацигово,0.03
"ФтЕЦ ""Торус 2 - Козарско""",община Брацигово,0.03
"ФтЕЦ ""Торус 3 - Козарско""",община Брацигово,0.03
"ФтЕЦ ""Томил Херб Продукт - Септември""",община Септември,0.03
"ФтЕЦ ""Тошел 92""",община Столична,0.03
"ФтЕЦ ""Терзиев - Чоба""",община Брезово,0.08224
"ФтЕЦ ""Трънково Солар""",община Раднево,0.0798
"ФтЕЦ ""Тракия Ямбол""",община Ямбол,0.03
"ФтЕЦ ""Росица""",община Павликени,0.16464
"ФтЕЦ ""Бесарабия 108""",община Столична,0.02
"ФтЕЦ ""Уинд иновейшън 1 - Камено""",община Камено,2.72976
"ФтЕЦ ""Универсал - Пловдив""",община Пловдив,0.03
"ФтЕЦ ""Фей енд Ко - Николаево"" (ел. 1)",община Николаево,2.02
"ФтЕЦ ""Фей енд Ко - Николаево"" (ел. 2)",община Николаево,0.68
"ФтЕЦ ""Фотон Електрик - Дълбоки""",община Стара Загора,0.0299
"ФтЕЦ ""Мадан""",община Мадан,0.096
"ФтЕЦ ""Финомеханик Кузманов - Индже войвода""",община Созопол,0.03
"ФтЕЦ ""Фотоенерджи - Хлябово""",община Тополовград,0.03
"ФтЕЦ ""Фотоволт - Хлябово 1""",община Тополовград,0.03
"ФтЕЦ ""Фотони - Винарско""",община Камено,1.0
"ФтЕЦ ""Хидрострой - Инвест""",община Панагюрище,0.0288
"ФтЕЦ ""Хидрострой - Инвест - Панагюрище""",община Панагюрище,0.0666
"ФтЕЦ ""Войниково""",община Тервел,2.0
"ФтЕЦ ""Свещари - 1""",община Исперих,0.03
"ФтЕЦ ""Победа""",община Долна Митрополия,50.0
"ФтЕЦ ""Хипократ 2011""",община Искър,0.03
"ФтЕЦ ""Хипократ 2011 - 2""",община Искър,0.03
"ФтЕЦ ""Смядово""",община Смядово,0.04256
"ФтЕЦ ""Житен клас""",община Перник,0.2
"ФтЕЦ ""Целев""",община Велинград,0.0288
"ФтЕЦ ""Ценкел Солвест - 7 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Цветелинка""",община Червен бряг,0.029
"ФтЕЦ ""ЦПО Каптор - Банево""",община Бургас,0.00495
"ФтЕЦ ""Чарган Солар Плант - Чарган"" (ел. 1)",община Тунджа,2.0
"ФтЕЦ ""Чарган Солар Плант - Чарган"" (ел. 2)",община Тунджа,1.0
"ФтЕЦ ""Чикалов 2""",община Симитли,0.005
"ФтЕЦ ""Черкаски""",община Вършец,0.1026
"ФтЕЦ ""Юби Волтаик - Лозарски връх""",община Сливен,0.03
"ФтЕЦ ""Юби Волтаик - Шести септември""",община Сливен,0.03
"ФтЕЦ ""Юголес""",община Крумовград,0.03
"ФтЕЦ ""Янтра""",община Горна Оряховица,0.01
"ФтЕЦ ""АВВА - Къща - Златоград""",община Златоград,0.005
"ФтЕЦ ""Агромаксима - Семчиново""",община Септември,0.06336
"ФтЕЦ ""Агроринг - Грийненерджи - Винарско 1""",община Камено,0.2
"ФтЕЦ ""Орешене Солар""",община Ябланица,0.065
"ФтЕЦ ""Гецово-1""",община Разград,0.03
"ФтЕЦ ""Глоджево""",община Ветово,0.0798
"ФтЕЦ ""Каолиново""",община Каолиново,4.913
"ФтЕЦ ""Копиловци 1""",община Кюстендил,0.005
"ФтЕЦ ""Аполо""",община Ловеч,0.02016
"ФтЕЦ ""Анасолар - 3 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Белмондо 1""",община Долни Дъбник,0.03
"ФтЕЦ ""Белмондо 2""",община Долни Дъбник,0.03
"ФтЕЦ ""Белмондо 3""",община Долни Дъбник,0.03
"ФтЕЦ ""Макреш 7""",община Макреш,0.137
"ФтЕЦ ""Бергрийн концепт ЕООД""",община Черноочене,0.03
"ФтЕЦ ""Ягодово""",община Берковица,0.003
"ФтЕЦ ""Торос 1""",община Луковит,0.03
"ФтЕЦ ""Торос 2""",община Луковит,0.03
"ФтЕЦ ""Бордис Солар - Скутаре""",община Марица,0.1128
"ФтЕЦ ""Босолар 6 - Зетьово""",община Чирпан,0.19941
"ФтЕЦ ""Бест Енерджи - Горно Ботево""",община Стара Загора,0.00924
"ФтЕЦ ""Булкрепекс-1 - Карлово""",община Карлово,0.02156
"ФтЕЦ ""Булкрепекс-2 - Карлово""",община Карлово,0.02156
"ФтЕЦ ""Вал Солар 2 - Нова Загора""",община Нова Загора,0.03
"ФтЕЦ ""Веселин Годумов - Неделино""",община Неделино,0.002056
"ФтЕЦ ""Копиловци 2""",община Кюстендил,0.005
"ФтЕЦ ""Виел Инвест - Горно Александрово""",община Сливен,0.075
"ФтЕЦ ""Витмар - Калояново""",община Калояново,0.06912
"ФтЕЦ ""Добринище""",община Банско,0.0044
"ФтЕЦ ""Овчарци 2""",община Сапарева баня,0.005
"ФтЕЦ ""Волтер груп - Семчиново""",община Септември,0.06336
"ФтЕЦ ""Волтпанел - Зетьово""",община Айтос,0.135
"ФтЕЦ ""Корсачки""",община Радомир,0.005
"ФтЕЦ ""Рудник""",община Долни чифлик,0.02
"ФтЕЦ ""Вълков и синове - Бургас 1""",община Бургас,0.01
"ФтЕЦ ""Геонайд - Ж. Войвода""",община Сливен,0.0049
"ФтЕЦ ""Ново Делчево""",община Сандански,0.0108
"ФтЕЦ ""Чурлянов""",община Сандански,0.03
ФтЕЦ Данев - Сливен,община Сливен,0.02961
"ФтЕЦ ""Дани и Тодоров 1 - Казанлък""",община Казанлък,0.03
"ФтЕЦ ""Дафком  - Маломирово""",община Елхово,0.06664
"ФтЕЦ ""Вилите - Варна""",община Варна,0.008
"ФтЕЦ ""Вила Ница - Созопол""",община Созопол,0.005
"ФтЕЦ ""Десислава""",община Левски,0.071
"ФтЕЦ ""Джи Л - с. Грозден""",община Сунгурларе,0.04997
"ФтЕЦ ""Дианат""",община Поморие,0.1932
"ФтЕЦ ""Дига 2""",община Петрич,0.03
"ФтЕЦ ""Димонт""",община Земен,0.2
"ФтЕЦ ""Блок 63""",община Столична,0.0282
