ime,obshtina,moshtnost
"ФтЕЦ ""Уши 1""",община Трекляно,0.1974
"ФтЕЦ ""Енерджи""",община Кресна,0.48
"ФтЕЦ ""Ескулаб""",община Перник,0.1
"ФтЕЦ ""Мокрище""",община Пазарджик,2.29
"ФтЕЦ ""Еспе Енерджи""",община Гулянци,5.0
"ФтЕЦ ""Еко-строй""",община Пазарджик,4.68
"ФтЕЦ ""Джуджан 1""",община Враца,0.1509
"ФтЕЦ ""Джуджан 2""",община Враца,0.1509
"ФтЕЦ ""Джуджан 3""",община Враца,0.1509
"ФтЕЦ ""Джуджан 4""",община Враца,0.1509
"ФтЕЦ ""Джуджан 5""",община Враца,0.1509
"ФтЕЦ ""Джуджан 6""",община Враца,0.1509
"ФтЕЦ ""Джуджан 7""",община Враца,0.1674
"ФтЕЦ ""Джуджан 8""",община Враца,0.1509
"ФтЕЦ ""Джуджан 9""",община Враца,0.1344
"ФтЕЦ ""Есетра-Болярци""",община Садово,0.19773
"ФтЕЦ ""Поляна""",община Рудозем,0.69874
"ФтЕЦ ""ЕОС-ЛД""",община Чепеларе,0.34968
"ФтЕЦ ""Електрик соурс""",община Петрич,0.2
"ФтЕЦ ""Екосън - Блатец""",община Сливен,1.435
"ФтЕЦ ""Екосън - Маленово""",община Стралджа,0.4343
"ФтЕЦ ""Естреа - Добрич""",община Елхово,0.1656
"ФтЕЦ ""Енергийни системи Сухиндол - Щип""",община Свиленград,1.5
"ФтЕЦ ""Еко Солар Холдинг""",община Брезово,0.0798
"ФтЕЦ ""Е. В. Т. - Електра Волт Трейд""",община Любимец,9.88
"ФтЕЦ ""Бошуля 3""",община Септември,0.7
"ФтЕЦ ""Бошуля 2""",община Септември,0.5
"ФтЕЦ ""Бошуля 1""",община Септември,1.5
"ФтЕЦ ""Електрообзавеждане Казанлък""",община Казанлък,0.165
"ФтЕЦ ""Мранчево""",община Карлово,0.13928
"ФтЕЦ ""Баня - 1""",община Карлово,0.1741
"ФтЕЦ ""Баня - 2""",община Карлово,0.13928
"ФтЕЦ ""Еко Трафик - Татарево""",община Минерални бани,0.03
"ФтЕЦ ""Татарево 2""",община Минерални бани,0.09984
